Table_Number,Year,Measure,Age,Sex,Indigenous_Status,Remoteness,Description1,Description2,Description3,Description4,Description5,Description6,Description7,Description8,Uncertainty,Data_Source,Unit,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,Total,Aust
CtG14A.1,2031,Mortality due to suicide,62,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,Trajectory,75% reduction,Aboriginal and Torres Strait Islander people,All people,,,Derived from ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,6.3,
CtG14A.1,2031,Mortality due to suicide,31,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,Linear regression estimates,,Aboriginal and Torres Strait Islander people,All people,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,37.6,
CtG14A.1,2031,Mortality due to suicide,67,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,Linear regression estimates,,Aboriginal and Torres Strait Islander people,All people,,95%CI,ABS (unpublished) Causes of Death Australia,rate (AS) (±),,,,,,,,,11.8,
CtG14A.1,2030,Mortality due to suicide,48,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,Trajectory,75% reduction,Aboriginal and Torres Strait Islander people,All people,,,Derived from ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,7.7,
CtG14A.1,2030,Mortality due to suicide,71,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,Linear regression estimates,,Aboriginal and Torres Strait Islander people,All people,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,36.7,
CtG14A.1,2030,Mortality due to suicide,73,All people,Aboriginal and Torres Strait Islander people,All areas,People aged 18 years or over assessed on the K5 scale of psychological distress,,Rate per 100000 people,Linear regression estimates,,Aboriginal and Torres Strait Islander people,All people,,95%CI,ABS (unpublished) Causes of Death Australia,rate (AS) (±),,,,,,,,,10.8,
CtG14A.1,2029,Mortality due to suicide,42,All people,Aboriginal and Torres Strait Islander people,All areas,People aged 18 years or over assessed on the K5 scale of psychological distress,,Rate per 100000 people,Trajectory,75% reduction,Aboriginal and Torres Strait Islander people,All people,,,Derived from ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,9.2,
CtG14A.1,2029,Mortality due to suicide,75,All people,Aboriginal and Torres Strait Islander people,All areas,People aged 18 years or over assessed on the K5 scale of psychological distress,,Rate per 100000 people,Linear regression estimates,,Aboriginal and Torres Strait Islander people,All people,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,35.8,
CtG14A.1,2029,Mortality due to suicide,78,All people,Aboriginal and Torres Strait Islander people,All areas,People aged 18 years or over assessed on the K5 scale of psychological distress,,Rate per 100000 people,Linear regression estimates,,Aboriginal and Torres Strait Islander people,All people,,95%CI,ABS (unpublished) Causes of Death Australia,rate (AS) (±),,,,,,,,,9.7,
CtG14A.1,2028,Mortality due to suicide,21,All people,Aboriginal and Torres Strait Islander people,All areas,People aged 18 years or over assessed on the K5 scale of psychological distress,,Rate per 100000 people,Trajectory,75% reduction,Aboriginal and Torres Strait Islander people,All people,,,Derived from ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,10.6,
CtG14A.1,2028,Mortality due to suicide,69,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,Linear regression estimates,,Aboriginal and Torres Strait Islander people,All people,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,34.9,
CtG14A.1,2028,Mortality due to suicide,6,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,Linear regression estimates,,Aboriginal and Torres Strait Islander people,All people,,95%CI,ABS (unpublished) Causes of Death Australia,rate (AS) (±),,,,,,,,,8.7,
CtG14A.1,2027,Mortality due to suicide,24,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,Trajectory,75% reduction,Aboriginal and Torres Strait Islander people,All people,,,Derived from ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,12.1,
CtG14A.1,2027,Mortality due to suicide,32,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,Linear regression estimates,,Aboriginal and Torres Strait Islander people,All people,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,33.9,
CtG14A.1,2027,Mortality due to suicide,15,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,Linear regression estimates,,Aboriginal and Torres Strait Islander people,All people,,95%CI,ABS (unpublished) Causes of Death Australia,rate (AS) (±),,,,,,,,,7.6,
CtG14A.1,2026,Mortality due to suicide,84,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,Trajectory,75% reduction,Aboriginal and Torres Strait Islander people,All people,,,Derived from ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,13.5,
CtG14A.1,2026,Mortality due to suicide,4,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,Linear regression estimates,,Aboriginal and Torres Strait Islander people,All people,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,33,
CtG14A.1,2026,Mortality due to suicide,74,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,Linear regression estimates,,Aboriginal and Torres Strait Islander people,All people,,95%CI,ABS (unpublished) Causes of Death Australia,rate (AS) (±),,,,,,,,,6.6,
